date,district,actual_m3
2024-01-18,Усольский район,78.605488
2024-01-18,Черемховский район,49.754430
2024-01-18,Шелеховский район,47.670219
2024-01-18,Эхирит-Булагатский район,15.373857
2024-01-19,Аларский район,3.762276
2024-01-19,Ангарский ГО,191.214927
2024-01-19,Баяндаевский район,11.720062
2024-01-19,Бодайбинский район,9.177813
2024-01-19,Боханский район,3.519828
2024-01-19,Жигаловский район,5.556053
2024-01-19,Заларинский район,8.223529
2024-01-19,Зиминский район,27.073117
2024-01-19,Иркутский район,138.118756
2024-01-19,Казачинско-Ленский район,8.906080
2024-01-19,Качугский район,4.797837
2024-01-19,Куйтунский район,3.144208
2024-01-19,Левый берег,327.590053
2024-01-19,МО Саянск,29.541945
2024-01-19,Нукутский район,5.630613
2024-01-19,Ольхонский район,5.218418
2024-01-19,Осинский район,7.132001
2024-01-19,Правый берег,290.348081
2024-01-19,Слюдянский район,26.343644
2024-01-19,Тулунский район,36.668665
2024-01-19,Усольский район,91.389460
2024-01-19,Усть-Удинский район,2.020757
2024-01-19,Черемховский район,58.323182
2024-01-19,Шелеховский район,45.113036
2024-01-19,Эхирит-Булагатский район,12.227012
2024-01-20,Аларский район,3.928689
2024-01-20,Ангарский ГО,88.013402
2024-01-20,Баяндаевский район,10.291946
2024-01-20,Бодайбинский район,8.515808
2024-01-20,Боханский район,1.548279
2024-01-20,Заларинский район,2.978827
2024-01-20,Зиминский район,26.900568
2024-01-20,Иркутский район,116.381027
2024-01-20,Казачинско-Ленский район,6.186352
2024-01-20,Куйтунский район,3.572621
2024-01-20,Левый берег,288.133930
2024-01-20,МО Саянск,22.681191
2024-01-20,Ольхонский район,2.751957
2024-01-20,Осинский район,3.497978
2024-01-20,Правый берег,247.485291
2024-01-20,Слюдянский район,17.755902
2024-01-20,Тулунский район,32.601688
2024-01-20,Усольский район,65.366101
2024-01-20,Черемховский район,33.409539
2024-01-20,Шелеховский район,40.184054
2024-01-20,Эхирит-Булагатский район,5.926273
2024-01-21,Аларский район,5.222528
2024-01-21,Ангарский ГО,95.451012
2024-01-21,Балаганский район,3.085323
2024-01-21,Бодайбинский район,6.813748
2024-01-21,Боханский район,11.665708
2024-01-21,Заларинский район,1.338902
2024-01-21,Зиминский район,21.697204
2024-01-21,Иркутский район,139.309087
2024-01-21,Казачинско-Ленский район,8.794992
2024-01-21,Качугский район,3.291639
2024-01-21,Куйтунский район,9.452232
2024-01-21,Левый берег,295.783977
2024-01-21,МО Саянск,22.992408
2024-01-21,Осинский район,3.536949
2024-01-21,Правый берег,255.462125
2024-01-21,Слюдянский район,22.282026
2024-01-21,Тулунский район,32.332687
2024-01-21,Усольский район,63.539115
2024-01-21,Черемховский район,28.179859
2024-01-21,Шелеховский район,49.012493
2024-01-21,Эхирит-Булагатский район,11.697701
2024-01-22,Аларский район,8.893790
2024-01-22,Ангарский ГО,182.358439
2024-01-22,Баяндаевский район,4.773126
2024-01-22,Бодайбинский район,10.480964
2024-01-22,Боханский район,4.624397
2024-01-22,Жигаловский район,6.994035
2024-01-22,Заларинский район,7.297988
2024-01-22,Зиминский район,26.937190
2024-01-22,Иркутский район,175.108145
2024-01-22,Казачинско-Ленский район,8.534223
2024-01-22,Куйтунский район,2.635079
2024-01-22,Левый берег,346.047438
2024-01-22,МО Саянск,29.317406
2024-01-22,Нукутский район,7.114978
2024-01-22,Ольхонский район,8.065092
2024-01-22,Осинский район,5.809364
2024-01-22,Правый берег,289.791950
2024-01-22,Слюдянский район,27.395138
2024-01-22,Тулунский район,37.849306
2024-01-22,Усольский район,77.266083
2024-01-22,Усть-Удинский район,3.455816
2024-01-22,Черемховский район,36.897472
2024-01-22,Шелеховский район,46.517379
2024-01-22,Эхирит-Булагатский район,16.298690
2024-01-23,Аларский район,2.436811
2024-01-23,Ангарский ГО,174.509365
2024-01-23,Балаганский район,7.665877
2024-01-23,Баяндаевский район,8.494583
2024-01-23,Бодайбинский район,8.808250
2024-01-23,Боханский район,3.179582
2024-01-23,Жигаловский район,5.625539
2024-01-23,Заларинский район,13.389150
2024-01-23,Зиминский район,29.846440
2024-01-23,Иркутский район,128.081181
2024-01-23,Казачинско-Ленский район,11.166307
2024-01-23,Куйтунский район,9.921249
2024-01-23,Левый берег,321.386097
2024-01-23,МО Саянск,22.182504
2024-01-23,Нукутский район,3.063509
2024-01-23,Ольхонский район,2.654495
2024-01-23,Осинский район,4.741591
2024-01-23,Правый берег,271.699701
2024-01-23,Слюдянский район,23.080758
2024-01-23,Тулунский район,42.249828
2024-01-23,Усольский район,76.600377
2024-01-23,Усть-Удинский район,2.728715
2024-01-23,Черемховский район,39.425117
2024-01-23,Шелеховский район,41.008006
2024-01-23,Эхирит-Булагатский район,14.669704
2024-01-24,Аларский район,6.698211
2024-01-24,Ангарский ГО,154.647454
2024-01-24,Баяндаевский район,13.786898
2024-01-24,Бодайбинский район,10.377001
2024-01-24,Боханский район,1.901850
2024-01-24,Жигаловский район,5.123952
2024-01-24,Заларинский район,12.479067
2024-01-24,Зиминский район,27.970354
2024-01-24,Иркутский район,147.715224
2024-01-24,Казачинско-Ленский район,10.926206
2024-01-24,Качугский район,6.508593
2024-01-24,Куйтунский район,3.508437
2024-01-24,Левый берег,326.472701
2024-01-24,МО Саянск,29.312594
2024-01-24,Нукутский район,2.979266
2024-01-24,Ольхонский район,3.013633
2024-01-24,Осинский район,12.024932
2024-01-24,Правый берег,270.845882
2024-01-24,Слюдянский район,28.780793
2024-01-24,Тулунский район,42.014973
2024-01-24,Усольский район,74.064572
2024-01-24,Усть-Удинский район,0.220858
2024-01-24,Черемховский район,53.548795
2024-01-24,Шелеховский район,55.165609
2024-01-24,Эхирит-Булагатский район,14.222820
2024-01-25,Аларский район,6.334419
2024-01-25,Ангарский ГО,164.714186
2024-01-25,Баяндаевский район,14.252515
2024-01-25,Бодайбинский район,9.353680
2024-01-25,Боханский район,3.644324
2024-01-25,Жигаловский район,4.743298
2024-01-25,Заларинский район,10.845875
2024-01-25,Зиминский район,27.219216
2024-01-25,Иркутский район,118.263397
2024-01-25,Казачинско-Ленский район,8.729405
2024-01-25,Куйтунский район,5.942671
2024-01-25,Левый берег,310.443809
2024-01-25,МО Саянск,23.006058
2024-01-25,Нукутский район,3.507509
2024-01-25,Ольхонский район,13.278665
2024-01-25,Осинский район,7.586547
2024-01-25,Правый берег,259.758283
2024-01-25,Слюдянский район,24.690997
2024-01-25,Тулунский район,34.009766
2024-01-25,Усольский район,68.694390
2024-01-25,Усть-Удинский район,2.857945
2024-01-25,Черемховский район,47.742147
2024-01-25,Шелеховский район,41.119706
2024-01-25,Эхирит-Булагатский район,16.175079
2024-01-26,Аларский район,8.379916
2024-01-26,Ангарский ГО,188.024472
2024-01-26,Балаганский район,3.565002
2024-01-26,Баяндаевский район,11.633575
2024-01-26,Бодайбинский район,7.863102
2024-01-26,Боханский район,4.931051
2024-01-26,Жигаловский район,5.551180
2024-01-26,Заларинский район,9.329166
2024-01-26,Зиминский район,21.809575
2024-01-26,Иркутский район,153.206499
2024-01-26,Казачинско-Ленский район,9.603209
2024-01-26,Качугский район,5.727353
2024-01-26,Куйтунский район,2.736433
2024-01-26,Левый берег,331.907430
2024-01-26,МО Саянск,28.720430
2024-01-26,Нукутский район,6.444154
2024-01-26,Осинский район,6.722791
2024-01-26,Правый берег,285.378094
2024-01-26,Слюдянский район,27.452527
2024-01-26,Тулунский район,43.868687
2024-01-26,Усольский район,83.998603
2024-01-26,Усть-Удинский район,3.620489
2024-01-26,Черемховский район,51.670183
2024-01-26,Шелеховский район,51.450493
2024-01-26,Эхирит-Булагатский район,9.877194
2024-01-27,Аларский район,3.876326
2024-01-27,Ангарский ГО,94.530347
2024-01-27,Балаганский район,2.582300
2024-01-27,Баяндаевский район,10.190996
2024-01-27,Бодайбинский район,8.378275
2024-01-27,Боханский район,4.082649
2024-01-27,Заларинский район,4.376213
2024-01-27,Зиминский район,22.848456
2024-01-27,Иркутский район,131.002953
2024-01-27,Казачинско-Ленский район,10.535532
2024-01-27,Качугский район,1.677982
2024-01-27,Куйтунский район,3.573913
2024-01-27,Левый берег,301.728454
2024-01-27,МО Саянск,21.647755
2024-01-27,Осинский район,4.918019
2024-01-27,Правый берег,248.886752
2024-01-27,Слюдянский район,19.929115
2024-01-27,Тулунский район,31.062402
2024-01-27,Усольский район,71.056821
2024-01-27,Усть-Удинский район,1.196505
2024-01-27,Черемховский район,35.915504
2024-01-27,Шелеховский район,41.134895
2024-01-27,Эхирит-Булагатский район,13.459912
2024-01-28,Аларский район,4.416182
2024-01-28,Ангарский ГО,93.224227
2024-01-28,Бодайбинский район,6.757475
2024-01-28,Боханский район,11.785589
2024-01-28,Заларинский район,1.338902
2024-01-28,Зиминский район,19.077806
2024-01-28,Иркутский район,136.477280
2024-01-28,Казачинско-Ленский район,10.313684
2024-01-28,Качугский район,3.707329
2024-01-28,Куйтунский район,10.105458
2024-01-28,Левый берег,292.691501
2024-01-28,МО Саянск,23.166829
2024-01-28,Ольхонский район,5.106984
2024-01-28,Осинский район,4.022901
2024-01-28,Правый берег,250.415219
2024-01-28,Слюдянский район,22.423696
2024-01-28,Тулунский район,35.999195
