site_id,WAPE,MAE,days,forecast_total,district
38100049,0.11183308177339901,1.120170177631579,152.0,1395.0868059999984,Иркутский район
38108685,0.11202184592242394,0.34071481045751617,153.0,417.4180559999999,Зиминский район
38124675,0.11217574891774888,0.012339332380952398,150.0,17.866071000000026,Ангарский ГО
38115499,0.11386825108225067,0.01236069830827065,152.0,17.57142900000002,Усольский район
38106311,0.11428750952380966,0.02255674530075194,152.0,25.85969399999998,Ангарский ГО
38110166,0.11428790476190437,0.011278411654135316,152.0,8.596907999999999,Слюдянский район
38100013,0.11475409836065574,0.10294117647058823,153.0,151.875,Иркутский район
38100133,0.11568405158730145,0.3835839605263157,152.0,530.0952379999993,Иркутский район
38125566,0.11574077037037038,0.025699019736842105,152.0,34.359375,Ангарский ГО
38125737,0.11666666666666667,0.07434640522875817,153.0,101.53125,Ангарский ГО
38126260,0.11686991869918699,0.023488562091503268,153.0,33.81964300000003,Ангарский ГО
38110353,0.11764705882352941,0.08823529411764706,153.0,103.62500000000017,МО Саянск
38124825,0.11904848979591817,0.012417309366130558,151.0,17.57142900000002,Ангарский ГО
38124847,0.11904848979591817,0.012417309366130558,151.0,17.57142900000002,Ангарский ГО
38124856,0.1190484897959182,0.01241730936613056,151.0,17.57142900000002,Ангарский ГО
38124855,0.11904848979591821,0.012417309366130561,151.0,17.57142900000002,Ангарский ГО
38124852,0.11904859863945562,0.012417320719016085,151.0,17.57142900000002,Ангарский ГО
38125813,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38125817,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38125816,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38125811,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38125815,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38125812,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38125814,0.11931818181818182,0.025735294117647058,153.0,33.84375,Ангарский ГО
38122421,0.11973836363636342,0.013083993377483442,151.0,17.546258999999978,Левый берег
38102725,0.12033187910854554,0.9810587320261435,153.0,1153.1666670000002,Правый берег
38102745,0.12075005312868985,0.26738639215686283,153.0,315.058333,Правый берег
38104624,0.12075633964912291,0.2811728496732029,153.0,373.85416699999996,Левый берег
38125573,0.12112406201550388,0.025699019736842105,152.0,34.359375,Ангарский ГО
38125561,0.12112406201550388,0.025699019736842105,152.0,32.21364800000005,Ангарский ГО
38125567,0.12112406201550388,0.025699019736842105,152.0,34.359375,Ангарский ГО
38125888,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
38125681,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
38125885,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
38125884,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
38125878,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
38125879,0.12121212121212122,0.02631578947368421,152.0,32.21364800000005,Ангарский ГО
38125896,0.12121212121212122,0.02631578947368421,152.0,34.359375,Ангарский ГО
